time,query,publisher,score,decision
2026-02-19 12:20:14.978336,US to withdraw troops from Syria amid Iran tensions,www.bbc.com,98.79,REAL ✅ (High confidence matches)
2026-02-19 12:20:14.978336,US to withdraw troops from Syria amid Iran tensions,www.aljazeera.com,86.09,REAL ✅ (High confidence matches)
2026-02-19 12:20:14.978336,US to withdraw troops from Syria amid Iran tensions,news.google.com,97.99,REAL ✅ (High confidence matches)
2026-02-19 12:59:18.840664,US to withdraw troops from Syria amid Iran tensions,www.bbc.com,98.79,REAL ✅ (High confidence matches)
2026-02-19 12:59:18.840664,US to withdraw troops from Syria amid Iran tensions,www.aljazeera.com,86.09,REAL ✅ (High confidence matches)
2026-02-19 12:59:18.840664,US to withdraw troops from Syria amid Iran tensions,news.google.com,97.98,REAL ✅ (High confidence matches)
2026-02-19 13:14:49.823727,US to withdraw troops from Syria amid Iran tensions,www.bbc.com,98.79,REAL ✅ (High confidence matches)
2026-02-19 13:14:49.823727,US to withdraw troops from Syria amid Iran tensions,www.aljazeera.com,86.09,REAL ✅ (High confidence matches)
2026-02-19 13:14:49.823727,US to withdraw troops from Syria amid Iran tensions,news.google.com,97.99,REAL ✅ (High confidence matches)
2026-02-19 13:56:01.483470,US to withdraw troops from Syria amid Iran tensions,www.bbc.com,98.79,REAL ✅ (High confidence matches)
2026-02-19 13:56:01.483470,US to withdraw troops from Syria amid Iran tensions,www.aljazeera.com,86.09,REAL ✅ (High confidence matches)
2026-02-19 13:56:01.483470,US to withdraw troops from Syria amid Iran tensions,news.google.com,97.99,REAL ✅ (High confidence matches)
2026-02-19 14:19:10.512134,US to withdraw troops from Syria amid Iran tensions,www.bbc.com,98.79,REAL ✅ (High confidence matches)
2026-02-19 14:19:10.512134,US to withdraw troops from Syria amid Iran tensions,www.aljazeera.com,86.09,REAL ✅ (High confidence matches)
2026-02-19 14:19:10.512134,US to withdraw troops from Syria amid Iran tensions,news.google.com,97.98,REAL ✅ (High confidence matches)
2026-02-19 14:19:12.484487,US to withdraw troops from Syria amid Iran tensions,www.bbc.com,98.79,REAL ✅ (High confidence matches)
2026-02-19 14:19:12.484487,US to withdraw troops from Syria amid Iran tensions,www.aljazeera.com,86.09,REAL ✅ (High confidence matches)
2026-02-19 14:19:12.484487,US to withdraw troops from Syria amid Iran tensions,news.google.com,97.98,REAL ✅ (High confidence matches)
2026-02-22 21:27:12.928966,"Lviv police officer, 23, killed in explosions in western Ukraine",www.bbc.com,83.12,LIMITED COVERAGE ⚠️
2026-02-22 21:27:12.928966,"Lviv police officer, 23, killed in explosions in western Ukraine",news.google.com,89.34,LIMITED COVERAGE ⚠️
2026-02-22 21:50:38.502498,"Lviv police officer, 23, killed in explosions in western Ukraine",www.bbc.com,83.12,LIMITED COVERAGE ⚠️
2026-02-22 21:50:38.502498,"Lviv police officer, 23, killed in explosions in western Ukraine",news.google.com,89.34,LIMITED COVERAGE ⚠️
2026-02-23 09:45:01.422737,Explosions kill police officer and injure 25 in western Ukraine,www.bbc.com,99.56,LIMITED COVERAGE ⚠️
2026-02-23 09:45:01.422737,Explosions kill police officer and injure 25 in western Ukraine,news.google.com,97.92,LIMITED COVERAGE ⚠️
2026-02-23 10:19:09.935218,"Lviv police officer, 23, killed in explosions in western Ukraine",www.bbc.com,83.12,LIMITED COVERAGE ⚠️
2026-02-23 10:19:09.935218,"Lviv police officer, 23, killed in explosions in western Ukraine",news.google.com,87.77,LIMITED COVERAGE ⚠️
2026-02-23 10:40:33.061301,"Lviv police officer, 23, killed in explosions in western Ukraine",www.bbc.com,83.12,LIMITED COVERAGE ⚠️
2026-02-23 10:40:33.061301,"Lviv police officer, 23, killed in explosions in western Ukraine",news.google.com,87.77,LIMITED COVERAGE ⚠️
2026-02-23 12:50:08.190745,"മലയാളി വനിത യുഎഇയിൽ പിടിയിലായത് സാധനങ്ങൾ വാങ്ങാൻ സൂപ്പർമാർക്കറ്റിൽ പോയപ്പോൾ; പ്രതിസന്ധിയിലായ പ്രവാസം, കണ്ണീർ ദിനങ്ങൾ",www.asianetnews.com,98.39,NOT VERIFIED ❌
2026-02-23 15:08:15.552187,"Four years into its full-scale war in Ukraine, Russia is feeling the effects",www.bbc.com,112.0,LIMITED COVERAGE ⚠️
2026-02-23 15:08:15.552187,"Four years into its full-scale war in Ukraine, Russia is feeling the effects",news.google.com,108.19,LIMITED COVERAGE ⚠️
2026-02-23 15:12:04.024211,Violence erupts in Mexico after drug lord El Mencho killed,www.bbc.com,109.0,REAL ✅ (High confidence matches)
2026-02-23 15:12:04.024211,Violence erupts in Mexico after drug lord El Mencho killed,www.aljazeera.com,94.6,REAL ✅ (High confidence matches)
2026-02-23 15:12:04.024211,Violence erupts in Mexico after drug lord El Mencho killed,www.theguardian.com,82.19,REAL ✅ (High confidence matches)
2026-02-23 15:12:04.024211,Violence erupts in Mexico after drug lord El Mencho killed,timesofindia.indiatimes.com,46.63,REAL ✅ (High confidence matches)
2026-02-23 15:12:04.024211,Violence erupts in Mexico after drug lord El Mencho killed,news.google.com,107.74,REAL ✅ (High confidence matches)
2026-02-24 10:08:42.968690,Big jump in gold prices in Kerala; Today's gold price has increased by over a thousand rupees,news.google.com,85.11,NOT VERIFIED ❌
2026-02-24 10:10:14.537780,AI Summit Protest: Youth Congress National President Uday Bhanu Chib Arrested,indianexpress.com,74.12,LIMITED COVERAGE ⚠️
2026-02-24 10:10:14.537780,AI Summit Protest: Youth Congress National President Uday Bhanu Chib Arrested,news.google.com,105.32,LIMITED COVERAGE ⚠️
2026-02-24 10:28:21.814997,AI Summit Protest: Youth Congress National President Uday Bhanu Chib Arrested,news.google.com,121.18,REAL ✅ (High confidence matches)
2026-02-24 10:28:21.814997,AI Summit Protest: Youth Congress National President Uday Bhanu Chib Arrested,indianexpress.com,118.39,REAL ✅ (High confidence matches)
